60 3
1	100.00	10000.00	10203.00
1	115.25	13283.54	13517.05
1	130.51	17032.46	17296.48
1	145.76	21246.77	21541.29
1	161.02	25926.46	26251.49
1	176.27	31071.53	31427.07
1	191.53	36681.99	37068.04
1	206.78	42757.83	43174.39
1	222.03	49299.05	49746.12
1	237.29	56305.66	56783.24
1	252.54	63777.65	64285.73
1	267.80	71715.02	72253.62
1	283.05	80117.78	80686.88
1	298.31	88985.92	89585.53
1	313.56	98319.45	98949.57
1	328.81	108118.36	108778.98
1	344.07	118382.65	119073.78
1	359.32	129112.32	129833.97
1	374.58	140307.38	141059.54
1	389.83	151967.83	152750.49
1	405.08	164093.65	164906.82
1	420.34	176684.86	177528.54
1	435.59	189741.45	190615.64
1	450.85	203263.43	204168.12
1	466.10	217250.79	218185.99
1	481.36	231703.53	232669.25
1	496.61	246621.66	247617.88
1	511.86	262005.17	263031.90
1	527.12	277854.06	278911.30
1	542.37	294168.34	295256.09
1	557.63	310948.00	312066.26
1	572.88	328193.05	329341.81
1	588.14	345903.48	347082.75
1	603.39	364079.29	365289.07
1	618.64	382720.48	383960.77
1	633.90	401827.06	403097.86
1	649.15	421399.02	422700.33
1	664.41	441436.37	442768.18
1	679.66	461939.10	463301.42
1	694.92	482907.21	484300.04
1	710.17	504340.71	505764.05
1	725.42	526239.59	527693.43
1	740.68	548603.85	550088.21
1	755.93	571433.50	572948.36
1	771.19	594728.53	596273.90
1	786.44	618488.94	620064.82
1	801.69	642714.74	644321.13
1	816.95	667405.92	669042.82
1	832.20	692562.48	694229.89
1	847.46	718184.43	719882.35
1	862.71	744271.76	746000.18
1	877.97	770824.48	772583.41
1	893.22	797842.57	799632.01
1	908.47	825326.06	827146.00
1	923.73	853274.92	855125.38
1	938.98	881689.17	883570.14
1	954.24	910568.80	912480.28
1	969.49	939913.82	941855.80
1	984.75	969724.22	971696.71
1	1000.00	1000000.00	1002003.00

